Ubl Lbu Ufl	[U': [r u r', U']]
Ubl Lbu Ufr	[r u r', U2]
Ubl Ldf Bdl	[y': [r U' r', d]]
Ubl Ldf Bdr	[Rw' U: [r' d r, U]]
Ubl Ldf Blu	[z R': [r' U' r, u']]
Ubl Ldf Bru	[Rw': [r' d r, U2]]
Ubl Ldf Dbl	[3Uw': [l2, U' r U]]
Ubl Ldf Dbr	[Rw: [d, r U2 r']]
Ubl Ldf Dfl	[z u: [u2, r U2 r']]
Ubl Ldf Dfr	[x z: [U l U', r]]
Ubl Ldf Fdl	[z U: [Uw r Uw', l']]
Ubl Ldf Fdr	[d, r U2 r']
Ubl Ldf Flu	[z: [r U2 r', u]]
Ubl Ldf Fru	[L': [u', r U r']]
Ubl Ldf Rbd	[d: [r U2 r', d2]]
Ubl Ldf Rbu	[y': [l, U' r U]]
Ubl Ldf Rdf	[z U: [Uw r Uw', l2]]
Ubl Ldf Rfu	[x' z': [r2, U l' U']]
Ubl Ldf Ubr	[U: [r' d r, U]]
Ubl Ldf Ufl	[U': [r' d r, U']]
Ubl Ldf Ufr	[r' d r, U2]
Ubl Lfu Bdl	[z: [l U l', u']]
Ubl Lfu Bdr	[Rw': [r' u' r, U]]
Ubl Lfu Blu	[u': [r U r', u']]
Ubl Lfu Bru	[Rw' U': [r' u' r, U2]]
Ubl Lfu Dbl	[y U: [r2, U l U']]
Ubl Lfu Dbr	[D' Rw: [u', r U r']]
Ubl Lfu Dfl	[u': [l2, U r U']]
Ubl Lfu Dfr	[r: [u', r U r']]
Ubl Lfu Fdl	[F2: [u', r U r']]
Ubl Lfu Fdr	[F': [u', r U r']]
Ubl Lfu Flu	[F: [u', r U r']]
Ubl Lfu Fru	[u', r U r']
Ubl Lfu Rbd	[y' U: [l, U r U']]
Ubl Lfu Rbu	[u': [r U r', u2]]
Ubl Lfu Rdf	[R2 u': [r U r', u2]]
Ubl Lfu Rfu	[R u': [r U r', u2]]
Ubl Lfu Ubr	[r' u' r, U]
Ubl Lfu Ufl	[U2: [r' u' r, U']]
Ubl Lfu Ufr	[U': [r' u' r, U2]]
Ubl Rbd Bdl	[Rw': [l, Uw r Uw']]
Ubl Rbd Bdr	[Rw': [r' u r, U]]
Ubl Rbd Blu	[z' Lw: [U', l u' l']]
Ubl Rbd Bru	[Rw' U': [r' u r, U2]]
Ubl Rbd Dbl	[y' D U: [U r2 U', l]]
Ubl Rbd Dbr	[r: [d', r U2 r']]
Ubl Rbd Dfl	[R': [l2, Uw r Uw']]
Ubl Rbd Dfr	[R' r: [u, r U r']]
Ubl Rbd Fdl	[F': [d', r U2 r']]
Ubl Rbd Fdr	[d', r U2 r']
Ubl Rbd Flu	[R': [l', Uw r Uw']]
Ubl Rbd Fru	[R': [u, r U r']]
Ubl Rbd Lbd	[R d: [r' U r, d2]]
Ubl Rbd Lbu	[R2 u': [r' U2 r, u2]]
Ubl Rbd Ldf	[d': [r U2 r', d2]]
Ubl Rbd Lfu	[y' U: [U r U', l]]
Ubl Rbd Ubr	[U: [r' d' r, U]]
Ubl Rbd Ufl	[U': [r' d' r, U']]
Ubl Rbd Ufr	[r' d' r, U2]
Ubl Rbu Bdl	[l, Uw r Uw']
Ubl Rbu Bdr	[r': [r' u r, U]]
Ubl Rbu Blu	[u: [r U r', u]]
Ubl Rbu Bru	[R': [u', r' U2 r]]
Ubl Rbu Dbl	[D: [l2, Uw r Uw']]
Ubl Rbu Dbr	[Uw': [U' r2 U, l]]
Ubl Rbu Dfl	[l2, Uw r Uw']
Ubl Rbu Dfr	[r: [u, r U r']]
Ubl Rbu Fdl	[F: [l', Uw r Uw']]
Ubl Rbu Fdr	[Uw': [U' r U, l]]
Ubl Rbu Flu	[l', Uw r Uw']
Ubl Rbu Fru	[u, r U r']
Ubl Rbu Lbd	[R' y: [r', U' l' U]]
Ubl Rbu Lbu	[L u: [r U r', u2]]
Ubl Rbu Ldf	[y': [U' r U, l]]
Ubl Rbu Lfu	[u: [r U r', u2]]
Ubl Rbu Ubr	[r' u r, U]
Ubl Rbu Ufl	[U2: [r' u r, U']]
Ubl Rbu Ufr	[U': [r' u r, U2]]
Ubl Rdf Bdl	[R2: [l, Uw r Uw']]
Ubl Rdf Bdr	[d, r' U r]
Ubl Rdf Blu	[z' Lw: [U2, l u' l']]
Ubl Rdf Bru	[R: [u', r' U2 r]]
Ubl Rdf Dbl	[Dw: [l2, U r' U']]
Ubl Rdf Dbr	[R y: [r2, U' l' U]]
Ubl Rdf Dfl	[R2: [l2, Uw r Uw']]
Ubl Rdf Dfr	[r': [d, r' U r]]
Ubl Rdf Fdl	[U: [d', l' U2 l]]
Ubl Rdf Fdr	[Rw: [r u' r', U2]]
Ubl Rdf Flu	[R2: [l', Uw r Uw']]
Ubl Rdf Fru	[R2: [u, r U r']]
Ubl Rdf Lbd	[z: [l2, Uw r Uw']]
Ubl Rdf Lbu	[R u': [r' U2 r, u2]]
Ubl Rdf Ldf	[z U: [l2, Uw r Uw']]
Ubl Rdf Lfu	[R2 u: [r U r', u2]]
Ubl Rdf Ubr	[r d r', U]
Ubl Rdf Ufl	[U2: [r d r', U']]
Ubl Rdf Ufr	[U': [r d r', U2]]
Ubl Rfu Bdl	[Rw: [l, Uw r Uw']]
Ubl Rfu Bdr	[Uw: [r', U' l' U]]
Ubl Rfu Blu	[U': [l, Uw' r' Uw]]
Ubl Rfu Bru	[u', r' U2 r]
Ubl Rfu Dbl	[Uw': [l2, U' r' U]]
Ubl Rfu Dbr	[y: [r2, U' l' U]]
Ubl Rfu Dfl	[R: [l2, Uw r Uw']]
Ubl Rfu Dfr	[Rw: [u, r U r']]
Ubl Rfu Fdl	[Uw': [l', U' r' U]]
Ubl Rfu Fdr	[Rw U': [r' u r, U2]]
Ubl Rfu Flu	[Rw: [l', Uw r Uw']]
Ubl Rfu Fru	[R: [u, r U r']]
Ubl Rfu Lbd	[y': [l', U' r' U]]
Ubl Rfu Lbu	[u': [r' U2 r, u2]]
Ubl Rfu Ldf	[x' z': [U l' U', r2]]
Ubl Rfu Lfu	[R u: [r U r', u2]]
Ubl Rfu Ubr	[U', l u l']
Ubl Rfu Ufl	[U': [r u' r', U']]
Ubl Rfu Ufr	[r u' r', U2]
Ubl Ubr Bdl	[Rw': [l, U r U']]
Ubl Ubr Bdr	[Lw: [U' l' U, r']]
Ubl Ubr Blu	[U, r' u2 r]
Ubl Ubr Bru	[x' U': [r, U' l' U]]
Ubl Ubr Dbl	[Rw' D: [l2, U r U']]
Ubl Ubr Dbr	[Lw D': [U' l' U, r2]]
Ubl Ubr Dfl	[Rw: [l2, U r' U']]
Ubl Ubr Dfr	[Lw': [U' l U, r2]]
Ubl Ubr Fdl	[F Rw: [l', U r' U']]
Ubl Ubr Fdr	[x U': [r', U' l U]]
Ubl Ubr Flu	[Rw: [l', U r' U']]
Ubl Ubr Fru	[Lw': [U' l U, r]]
Ubl Ubr Lbd	[U, r d' r']
Ubl Ubr Lbu	[l u' l', U']
Ubl Ubr Ldf	[U2: [r' d r, U']]
Ubl Ubr Lfu	[U, r' u' r]
Ubl Ubr Rbd	[U2: [r' d' r, U']]
Ubl Ubr Rbu	[U, r' u r]
Ubl Ubr Rdf	[U, r d r']
Ubl Ubr Rfu	[l u l', U']
Ubl Ufl Bdl	[y': [U', r' d r]]
Ubl Ufl Bdr	[U x': [U' l' U, r]]
Ubl Ufl Blu	[Uw: [r' u r, U]]
Ubl Ufl Bru	[l u2 l', U]
Ubl Ufl Dbl	[U': [D' r2 D, l2]]
Ubl Ufl Dbr	[U': [r2, D l2 D']]
Ubl Ufl Dfl	[U: [l2, D r2 D']]
Ubl Ufl Dfr	[U: [D' l2 D, r2]]
Ubl Ufl Fdl	[U' x: [U' r' U, l]]
Ubl Ufl Fdr	[y': [U', r' d' r]]
Ubl Ufl Flu	[Uw': [U', r u' r']]
Ubl Ufl Fru	[Uw: [r' u' r, U]]
Ubl Ufl Lbd	[U: [r d' r', U]]
Ubl Ufl Lbu	[U2: [r u r', U]]
Ubl Ufl Ldf	[U2: [r' d r, U]]
Ubl Ufl Lfu	[U: [r' u' r, U]]
Ubl Ufl Rbd	[U2: [r' d' r, U]]
Ubl Ufl Rbu	[U: [r' u r, U]]
Ubl Ufl Rdf	[U: [r d r', U]]
Ubl Ufl Rfu	[U2: [r u' r', U]]
Ubl Ufr Bdl	[U2, r' d2 r]
Ubl Ufr Bdr	[Lw U': [U' l' U, r']]
Ubl Ufr Blu	[U: [r' u2 r, U2]]
Ubl Ufr Bru	[l u2 l', U2]
Ubl Ufr Dbl	[Rw' U': [l2, U' r U]]
Ubl Ufr Dbr	[D Rw' U': [l2, U' r U]]
Ubl Ufr Dfl	[Rw' F': [l2, U r U']]
Ubl Ufr Dfr	[Lw U': [U' l' U, r2]]
Ubl Ufr Fdl	[Rw' U': [l', U' r U]]
Ubl Ufr Fdr	[y' U': [r' d' r, U2]]
Ubl Ufr Flu	[U2, r u2 r']
Ubl Ufr Fru	[Uw: [r' u' r, U2]]
Ubl Ufr Lbd	[U: [r d' r', U2]]
Ubl Ufr Lbu	[U2, r u r']
Ubl Ufr Ldf	[U2, r' d r]
Ubl Ufr Lfu	[U: [r' u' r, U2]]
Ubl Ufr Rbd	[U2, r' d' r]
Ubl Ufr Rbu	[U: [r' u r, U2]]
Ubl Ufr Rdf	[U: [r d r', U2]]
Ubl Ufr Rfu	[U2, r u' r']
